数据日期,数据大小,总错误条数,更新日期,数据来源,err_1,err_2,err_3,err_4,err_5,err_6,err_7,err_8,err_9,err_10
20100507,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100510,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100511,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100512,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100513,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100514,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100517,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100518,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100519,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100520,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100521,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100524,7.8M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100525,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100526,7.3M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100527,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100528,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100531,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100601,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100602,7.6M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100603,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100604,7.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100607,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100608,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100609,7.7M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100610,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100611,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100617,7.1M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100618,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100621,7.5M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100622,7.2M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
20100623,7.4M,0,20170327,THS,0,0,0,0,0,0,0,0,0,0
