xdate,yType,error_sum
20101027,StockBmink,0
20101028,StockBmink,0
20101029,StockBmink,0
20101101,StockBmink,0
20101102,StockBmink,0
20101103,StockBmink,0
20101104,StockBmink,0
20101105,StockBmink,0
20101108,StockBmink,0
20101109,StockBmink,0
20101110,StockBmink,0
20101111,StockBmink,0
20101112,StockBmink,0
20101115,StockBmink,0
20101116,StockBmink,0
20101117,StockBmink,0
20101118,StockBmink,0
20101119,StockBmink,0
20101122,StockBmink,0
20101123,StockBmink,0
20101124,StockBmink,0
20101125,StockBmink,0
20101126,StockBmink,0
20101129,StockBmink,0
20101130,StockBmink,0
20101201,StockBmink,0
20101202,StockBmink,0
20101203,StockBmink,0
20101206,StockBmink,0
20101207,StockBmink,0
20101208,StockBmink,0
20101209,StockBmink,0
20101210,StockBmink,0
20101213,StockBmink,0
20101214,StockBmink,0
20101215,StockBmink,0
20101216,StockBmink,0
20101217,StockBmink,0
20101220,StockBmink,0
20101221,StockBmink,0
20101222,StockBmink,0
20101223,StockBmink,0
20101224,StockBmink,0
20101227,StockBmink,0
20101228,StockBmink,0
20101229,StockBmink,0
20101230,StockBmink,0
20101231,StockBmink,0
